feature,importance
hour,2461887676.0196915
emergency_availability_score,1411890959.9517632
nearest_hospital_proxy_km,1369465109.2779598
crime_rate_per_100k,863774352.4929066
flood_risk,281395411.8579407
month,117374259.15775299
earthquake_risk,76453756.78384018
road_accident_hotspot_risk,61269246.98142815
accident_severity_index,49347656.309043884
day_of_week,32747642.929746628
cyclone_risk,22285944.174484253
total_events,19381505.766952515
water_safety_score,3811834.232143402
fire_risk_index,2675953.7007484436
water_contamination_risk,1194465.9993553162
fatality_rate,932439.6206512451
landslide_risk,329555.794921875
ambulance_response_score,94904.41298294067
fire_intensity_score,56035.22659301758
crime_type_distribution_risk,50524.834548950195
rainfall_mmph,21562.23345184326
hospital_level_score,8033.46337890625
weather_severity,3924.9714889526367
gender_safety_index,1387.219009399414
pm10,0.0
wind_speed_kmph,0.0
visibility_km,0.0
tourist_targeted_crime_index,0.0
uv_index,0.0
aqi,0.0
pm25,0.0
temperature_c,0.0
humidity_pct,0.0
noise_level_proxy,0.0
population_density_per_km2,0.0
